,geometry,fault_count,GiZScore,GiPValue
18,"POLYGON ((-0.9080867066802819 51.67438725542415, -0.9080867066802819 51.72438725542415, -0.958086706680282 51.72438725542415, -0.958086706680282 51.67438725542415, -0.9080867066802819 51.67438725542415))",101.0,-0.37249568413572764,0.313
19,"POLYGON ((-0.9080867066802819 51.72438725542415, -0.9080867066802819 51.77438725542414, -0.958086706680282 51.77438725542414, -0.958086706680282 51.72438725542415, -0.9080867066802819 51.72438725542415))",323.0,-0.6224224205856254,0.068
21,"POLYGON ((-0.9080867066802819 51.82438725542414, -0.9080867066802819 51.87438725542414, -0.958086706680282 51.87438725542414, -0.958086706680282 51.82438725542414, -0.9080867066802819 51.82438725542414))",392.0,,0.001
63,"POLYGON ((-0.8580867066802819 51.72438725542415, -0.8580867066802819 51.77438725542414, -0.9080867066802819 51.77438725542414, -0.9080867066802819 51.72438725542415, -0.8580867066802819 51.72438725542415))",241.0,-0.6856538240727829,0.003
106,"POLYGON ((-0.8080867066802818 51.67438725542415, -0.8080867066802818 51.72438725542415, -0.8580867066802819 51.72438725542415, -0.8580867066802819 51.67438725542415, -0.8080867066802818 51.67438725542415))",148.0,-0.4650153202450891,0.311
108,"POLYGON ((-0.8080867066802818 51.77438725542414, -0.8080867066802818 51.82438725542414, -0.8580867066802819 51.82438725542414, -0.8580867066802819 51.77438725542414, -0.8080867066802818 51.77438725542414))",1.0,-0.0009910810738963179,0.383
109,"POLYGON ((-0.8080867066802818 51.82438725542414, -0.8080867066802818 51.87438725542414, -0.8580867066802819 51.87438725542414, -0.8580867066802819 51.82438725542414, -0.8080867066802818 51.82438725542414))",407.0,-0.2261509742725059,0.487
152,"POLYGON ((-0.7580867066802818 51.77438725542414, -0.7580867066802818 51.82438725542414, -0.8080867066802818 51.82438725542414, -0.8080867066802818 51.77438725542414, -0.7580867066802818 51.77438725542414))",691.0,-0.4074848195636754,0.171
195,"POLYGON ((-0.7080867066802817 51.72438725542415, -0.7080867066802817 51.77438725542414, -0.7580867066802818 51.77438725542414, -0.7580867066802818 51.72438725542415, -0.7080867066802817 51.72438725542415))",388.0,0.03314591949861812,0.36
238,"POLYGON ((-0.6580867066802817 51.67438725542415, -0.6580867066802817 51.72438725542415, -0.7080867066802817 51.72438725542415, -0.7080867066802817 51.67438725542415, -0.6580867066802817 51.67438725542415))",341.0,-0.1314436746515923,0.411
240,"POLYGON ((-0.6580867066802817 51.77438725542414, -0.6580867066802817 51.82438725542414, -0.7080867066802817 51.82438725542414, -0.7080867066802817 51.77438725542414, -0.6580867066802817 51.77438725542414))",350.0,-0.24450904818004,0.459
274,"POLYGON ((-0.6080867066802816 51.27438725542417, -0.6080867066802816 51.32438725542417, -0.6580867066802817 51.32438725542417, -0.6580867066802817 51.27438725542417, -0.6080867066802816 51.27438725542417))",469.0,-0.3344528409918007,0.36
285,"POLYGON ((-0.6080867066802816 51.82438725542414, -0.6080867066802816 51.87438725542414, -0.6580867066802817 51.87438725542414, -0.6580867066802817 51.82438725542414, -0.6080867066802816 51.82438725542414))",288.0,-0.0049983254653524056,0.36
286,"POLYGON ((-0.6080867066802816 51.87438725542414, -0.6080867066802816 51.92438725542414, -0.6580867066802817 51.92438725542414, -0.6580867066802817 51.87438725542414, -0.6080867066802816 51.87438725542414))",538.0,-0.35678192558627086,0.399
316,"POLYGON ((-0.5580867066802816 51.17438725542418, -0.5580867066802816 51.22438725542418, -0.6080867066802816 51.22438725542418, -0.6080867066802816 51.17438725542418, -0.5580867066802816 51.17438725542418))",323.0,-0.22540716500172825,0.485
317,"POLYGON ((-0.5580867066802816 51.22438725542418, -0.5580867066802816 51.27438725542417, -0.6080867066802816 51.27438725542417, -0.6080867066802816 51.22438725542418, -0.5580867066802816 51.22438725542418))",438.0,-0.38209179115329645,0.142
318,"POLYGON ((-0.5580867066802816 51.27438725542417, -0.5580867066802816 51.32438725542417, -0.6080867066802816 51.32438725542417, -0.6080867066802816 51.27438725542417, -0.5580867066802816 51.27438725542417))",158.0,-0.27486830745350993,0.269
325,"POLYGON ((-0.5580867066802816 51.62438725542415, -0.5580867066802816 51.67438725542415, -0.6080867066802816 51.67438725542415, -0.6080867066802816 51.62438725542415, -0.5580867066802816 51.62438725542415))",425.0,0.3914637706857303,0.19
326,"POLYGON ((-0.5580867066802816 51.67438725542415, -0.5580867066802816 51.72438725542415, -0.6080867066802816 51.72438725542415, -0.6080867066802816 51.67438725542415, -0.5580867066802816 51.67438725542415))",619.0,-0.023894281250055556,0.372
327,"POLYGON ((-0.5580867066802816 51.72438725542415, -0.5580867066802816 51.77438725542414, -0.6080867066802816 51.77438725542414, -0.6080867066802816 51.72438725542415, -0.5580867066802816 51.72438725542415))",445.0,0.3915514476838066,0.19
333,"POLYGON ((-0.5580867066802816 52.02438725542413, -0.5580867066802816 52.07438725542413, -0.6080867066802816 52.07438725542413, -0.6080867066802816 52.02438725542413, -0.5580867066802816 52.02438725542413))",162.0,-0.28389919300345956,0.466
352,"POLYGON ((-0.5080867066802816 50.7743872554242, -0.5080867066802816 50.8243872554242, -0.5580867066802816 50.8243872554242, -0.5580867066802816 50.7743872554242, -0.5080867066802816 50.7743872554242))",116.0,-0.5625241322407433,0.237
361,"POLYGON ((-0.5080867066802816 51.22438725542418, -0.5080867066802816 51.27438725542417, -0.5580867066802816 51.27438725542417, -0.5580867066802816 51.22438725542418, -0.5080867066802816 51.22438725542418))",255.0,-0.3880622531321529,0.174
362,"POLYGON ((-0.5080867066802816 51.27438725542417, -0.5080867066802816 51.32438725542417, -0.5580867066802816 51.32438725542417, -0.5580867066802816 51.27438725542417, -0.5080867066802816 51.27438725542417))",180.0,-0.10051643518828746,0.5
363,"POLYGON ((-0.5080867066802816 51.32438725542417, -0.5080867066802816 51.37438725542417, -0.5580867066802816 51.37438725542417, -0.5580867066802816 51.32438725542417, -0.5080867066802816 51.32438725542417))",283.0,-0.09155443132173492,0.483
373,"POLYGON ((-0.5080867066802816 51.82438725542414, -0.5080867066802816 51.87438725542414, -0.5580867066802816 51.87438725542414, -0.5580867066802816 51.82438725542414, -0.5080867066802816 51.82438725542414))",78.0,-0.2624682631721591,0.375
374,"POLYGON ((-0.5080867066802816 51.87438725542414, -0.5080867066802816 51.92438725542414, -0.5580867066802816 51.92438725542414, -0.5580867066802816 51.87438725542414, -0.5080867066802816 51.87438725542414))",545.0,-0.6938114810124852,0.003
378,"POLYGON ((-0.5080867066802816 52.07438725542413, -0.5080867066802816 52.12438725542412, -0.5580867066802816 52.12438725542412, -0.5580867066802816 52.07438725542413, -0.5080867066802816 52.07438725542413))",321.0,0.21231927791807967,0.262
396,"POLYGON ((-0.4580867066802816 50.7743872554242, -0.4580867066802816 50.8243872554242, -0.5080867066802816 50.8243872554242, -0.5080867066802816 50.7743872554242, -0.4580867066802816 50.7743872554242))",198.0,-0.7475703952714081,0.069
